iter	Passed	Remaining
502	4084	4036
503	4088	4023
504	4092	4011
505	4095	3998
506	4099	3986
507	4102	3973
508	4106	3961
509	4110	3949
510	4113	3936
511	4117	3924
512	4120	3912
513	4124	3899
514	4128	3887
515	4131	3875
516	4135	3863
517	4139	3851
518	4142	3839
519	4146	3827
520	4149	3815
521	4153	3803
522	4156	3791
523	4160	3779
524	4164	3767
525	4167	3755
526	4170	3743
527	4174	3731
528	4177	3719
529	4181	3708
530	4184	3696
531	4188	3684
532	4191	3672
533	4195	3661
534	4199	3649
535	4202	3638
536	4206	3626
537	4209	3615
538	4213	3603
539	4217	3592
540	4220	3581
541	4224	3569
542	4228	3558
543	4231	3547
544	4235	3536
545	4238	3524
546	4242	3513
547	4246	3502
548	4250	3491
549	4253	3480
550	4257	3469
551	4260	3458
552	4264	3447
553	4268	3436
554	4271	3425
555	4275	3414
556	4278	3403
557	4282	3392
558	4286	3381
559	4289	3370
560	4293	3359
561	4296	3348
562	4300	3337
563	4303	3327
564	4307	3316
565	4310	3305
566	4314	3294
567	4318	3284
568	4321	3273
569	4325	3262
570	4328	3252
571	4332	3241
572	4335	3230
573	4339	3220
574	4342	3209
575	4346	3199
576	4350	3189
577	4353	3178
578	4357	3168
579	4360	3157
580	4364	3147
581	4368	3137
582	4372	3127
583	4376	3117
584	4380	3107
585	4384	3097
586	4387	3087
587	4391	3076
588	4394	3066
589	4398	3056
590	4402	3046
591	4405	3036
592	4409	3026
593	4413	3016
594	4416	3006
595	4420	2996
596	4423	2986
597	4427	2976
598	4430	2966
599	4434	2956
600	4437	2946
601	4441	2936
602	4444	2926
603	4448	2916
604	4451	2906
605	4455	2896
606	4459	2887
607	4462	2877
608	4466	2867
609	4469	2857
610	4473	2847
611	4476	2838
612	4481	2829
613	4484	2819
614	4488	2809
615	4491	2800
616	4495	2790
617	4499	2781
618	4502	2771
619	4506	2761
620	4509	2752
621	4513	2742
622	4516	2733
623	4520	2723
624	4523	2714
625	4527	2704
626	4530	2695
627	4534	2685
628	4537	2676
629	4541	2667
630	4545	2657
631	4548	2648
632	4552	2639
633	4556	2630
634	4559	2620
635	4563	2611
636	4566	2602
637	4570	2593
638	4573	2584
639	4577	2574
640	4580	2565
641	4584	2556
642	4588	2547
643	4591	2538
644	4595	2529
645	4598	2520
646	4602	2511
647	4606	2502
648	4609	2493
649	4613	2484
650	4616	2475
651	4620	2466
652	4623	2457
653	4627	2448
654	4631	2439
655	4634	2430
656	4638	2421
657	4641	2412
658	4645	2403
659	4649	2394
660	4652	2386
661	4656	2377
662	4659	2368
663	4663	2359
664	4666	2350
665	4670	2342
666	4673	2333
667	4677	2324
668	4681	2316
669	4684	2307
670	4688	2298
671	4691	2289
672	4695	2281
673	4698	2272
674	4702	2264
675	4705	2255
676	4709	2247
677	4713	2238
678	4716	2229
679	4720	2221
680	4723	2212
681	4727	2204
682	4730	2195
683	4734	2187
684	4738	2178
685	4741	2170
686	4745	2162
687	4748	2153
688	4752	2145
689	4756	2136
690	4759	2128
691	4763	2120
692	4767	2112
693	4771	2103
694	4775	2095
695	4778	2087
696	4782	2078
697	4785	2070
698	4790	2062
699	4793	2054
700	4797	2046
701	4800	2037
702	4804	2029
703	4807	2021
704	4811	2013
705	4814	2005
706	4818	1996
707	4822	1988
708	4825	1980
709	4829	1972
710	4833	1964
711	4836	1956
712	4840	1948
713	4843	1940
714	4847	1932
715	4851	1924
716	4854	1916
717	4858	1908
718	4861	1900
719	4865	1892
720	4868	1884
721	4872	1876
722	4875	1868
723	4879	1860
724	4882	1852
725	4886	1844
726	4890	1836
727	4893	1828
728	4897	1820
729	4900	1812
730	4904	1804
731	4907	1796
732	4911	1788
733	4914	1781
734	4918	1773
735	4921	1765
736	4925	1757
737	4928	1749
738	4932	1742
739	4936	1734
740	4940	1726
741	4943	1719
742	4947	1711
743	4951	1703
744	4954	1695
745	4958	1688
746	4961	1680
747	4965	1672
748	4969	1665
749	4972	1657
750	4976	1649
751	4979	1642
752	4983	1634
753	4986	1627
754	4990	1619
755	4993	1611
756	4997	1604
757	5000	1596
758	5004	1589
759	5007	1581
760	5011	1573
761	5015	1566
762	5018	1558
763	5022	1551
764	5026	1543
765	5029	1536
766	5033	1528
767	5036	1521
768	5040	1514
769	5043	1506
770	5047	1499
771	5050	1491
772	5054	1484
773	5057	1476
774	5061	1469
775	5064	1462
776	5068	1454
777	5072	1447
778	5075	1439
779	5078	1432
780	5082	1425
781	5085	1417
782	5089	1410
783	5093	1403
784	5096	1395
785	5100	1388
786	5103	1381
787	5107	1373
788	5110	1366
789	5114	1359
790	5117	1352
791	5121	1345
792	5124	1337
793	5128	1330
794	5132	1323
795	5135	1316
796	5139	1308
797	5142	1301
798	5146	1294
799	5149	1287
800	5153	1280
801	5156	1273
802	5160	1265
803	5163	1258
804	5168	1251
805	5171	1244
806	5175	1237
807	5179	1230
808	5182	1223
809	5186	1216
810	5189	1209
811	5193	1202
812	5196	1195
813	5200	1188
814	5204	1181
815	5207	1174
816	5211	1167
817	5214	1160
818	5218	1153
819	5221	1146
820	5225	1139
821	5228	1132
822	5232	1125
823	5236	1118
824	5239	1111
825	5243	1104
826	5246	1097
827	5250	1090
828	5253	1083
829	5257	1076
830	5260	1069
831	5264	1062
832	5268	1056
833	5271	1049
834	5275	1042
835	5278	1035
836	5282	1028
837	5285	1021
838	5289	1015
839	5292	1008
840	5296	1001
841	5300	994
842	5303	987
843	5307	980
844	5310	974
845	5314	967
846	5318	960
847	5321	953
848	5325	947
849	5329	940
850	5332	933
851	5336	926
852	5339	920
853	5343	913
854	5347	906
855	5350	900
856	5354	893
857	5357	886
858	5361	879
859	5364	873
860	5368	866
861	5371	859
862	5375	853
863	5378	846
864	5382	840
865	5385	833
866	5389	826
867	5392	820
868	5396	813
869	5400	806
870	5404	800
871	5407	793
872	5411	787
873	5414	780
874	5418	774
875	5421	767
876	5425	760
877	5428	754
878	5432	747
879	5435	741
880	5439	734
881	5442	728
882	5446	721
883	5450	715
884	5453	708
885	5456	702
886	5460	695
887	5463	689
888	5467	682
889	5470	676
890	5474	669
891	5477	663
892	5481	656
893	5485	650
894	5488	643
895	5492	637
896	5495	631
897	5499	624
898	5503	618
899	5506	611
900	5510	605
901	5513	599
902	5517	592
903	5520	586
904	5524	579
905	5527	573
906	5531	567
907	5534	560
908	5538	554
909	5541	548
910	5545	541
911	5549	535
912	5552	529
913	5556	522
914	5560	516
915	5563	510
916	5567	503
917	5570	497
918	5574	491
919	5577	485
920	5581	478
921	5584	472
922	5588	466
923	5591	459
924	5595	453
925	5599	447
926	5602	441
927	5606	434
928	5609	428
929	5613	422
930	5616	416
931	5620	410
932	5623	403
933	5628	397
934	5632	391
935	5636	385
936	5639	379
937	5643	372
938	5646	366
939	5649	360
940	5653	354
941	5656	348
942	5660	342
943	5663	335
944	5667	329
945	5670	323
946	5674	317
947	5677	311
948	5681	305
949	5684	299
950	5688	293
951	5691	286
952	5695	280
953	5699	274
954	5702	268
955	5706	262
956	5709	256
957	5713	250
958	5716	244
959	5720	238
960	5723	232
961	5727	226
962	5731	220
963	5734	214
964	5738	208
965	5741	202
966	5745	196
967	5749	190
968	5752	184
969	5756	178
970	5760	172
971	5763	166
972	5766	160
973	5770	154
974	5774	148
975	5777	142
976	5781	136
977	5784	130
978	5788	124
979	5791	118
980	5795	112
981	5799	106
982	5802	100
983	5806	94
984	5809	88
985	5813	82
986	5816	76
987	5820	70
988	5823	64
989	5827	58
990	5830	52
991	5834	47
992	5837	41
993	5841	35
994	5844	29
995	5848	23
996	5851	17
997	5855	11
998	5859	5
999	5864	0
